year,Location,Crop,precipitation (mm),Temperature (°C),Irrigation water usage (m³),Water availability (m³),Crop yield (metric tons/hectare),Irrigation efficiency (%),Irrigation method,Soil moisture (%),water salinity (ppm),Greenhouse gas emissions (metric tons)
2012,Burundi,Cassava,1359.63,23.89,3868.99,60127.55,8.1,0.72,Center pivot irrigation,0.13,599.04,89.97
1994,Kenya,Rice,1195.66,15.92,1525.09,20653.4,2.55,0.62,Sprinkler irrigation,0.4,144.83,97.74
2004,Kenya,Sweet potatoes,1078.16,20.04,7515.86,21498.66,2.01,0.62,Sprinkler irrigation,0.49,990.7,19.69
2002,South Sudan,Soybeans,1989.32,26.43,2691.28,25663.38,1.26,0.55,Drip irrigation,0.28,177.61,55.07
2006,South Sudan,Beans,909.81,30.31,1170.16,55502.73,6.3,0.68,Drip irrigation,0.38,100.55,84.24
2015,South Sudan,Irish potatoes,817.62,34.67,2915.9,66627.96,9.74,0.62,Sprinkler irrigation,0.2,636.52,95.36
2013,Uganda,Soybeans,1510.05,18.34,8970.97,71641.82,2.76,0.86,Sprinkler irrigation,0.45,495.2,81.15
2006,South Sudan,Wheat,829.41,34.52,6294.28,84373.8,7.01,0.66,Flood irrigation,0.18,558.85,12.37
2012,Tanzania,Millet,1558.71,26.22,2448.42,63164.04,5.58,0.74,Drip irrigation,0.31,820.65,18.12
1993,South Sudan,Sunflower,1660.98,26.09,1554.61,62621.89,7.21,0.69,Drip irrigation,0.22,803.86,14.85
2010,South Sudan,Cowpeas,1172.99,27.37,8319.34,74739.33,2.07,0.65,Center pivot irrigation,0.47,641.59,52.9
2023,Kenya,Cassava,1757.52,29.66,3233.25,50475.11,8.61,0.52,Flood irrigation,0.35,414.21,86.82
2008,Burundi,Fruits,910.86,18.95,8125.73,92376.79,8.41,0.65,Center pivot irrigation,0.42,116.84,78.85
1995,South Sudan,Maize,1075.07,25.92,3114.84,78235.26,2.23,0.69,Sprinkler irrigation,0.3,394.85,83.53
2021,Uganda,Sweet potatoes,840.6,17.99,6793.62,79208.45,5.79,0.88,Center pivot irrigation,0.47,685.95,91.91
1994,Uganda,Cowpeas,1085.78,30.03,5879.48,74642.16,2.11,0.54,Sprinkler irrigation,0.25,115.84,37.91
2014,Rwanda,Rice,1672.75,21.61,5975.63,19673.52,6.62,0.59,Center pivot irrigation,0.35,905.33,56.63
1995,Tanzania,Irish potatoes,1289.97,15.07,5661.87,43982.12,5.39,0.54,Sprinkler irrigation,0.46,240.38,78.65
2012,South Sudan,Pigeon peas,1403.33,15.7,5408.76,67275.6,9.77,0.76,Center pivot irrigation,0.12,365.79,10.14
1994,Kenya,Beans,1111.41,23,9395.7,21293.62,6.13,0.73,Center pivot irrigation,0.14,122.26,33.62
2012,Rwanda,Irish potatoes,1178.22,32.67,7027.04,98770,9.26,0.8,Drip irrigation,0.14,161.28,13.57
2012,Burundi,Sweet potatoes,1295.2,22.24,4939.93,90932.06,9.48,0.76,Sprinkler irrigation,0.11,876.2,51.56
1993,Uganda,Sorghum,1850.2,20.71,1607.76,88860.28,1.41,0.85,Center pivot irrigation,0.35,757.95,10.62
2007,Burundi,Irish potatoes,1841.46,19.25,5591.56,67468.78,1.3,0.86,Flood irrigation,0.36,770.1,64.74
2021,South Sudan,Soybeans,1207.62,18.11,3909.59,89643.23,8.31,0.58,Center pivot irrigation,0.32,466.71,95.97
2002,Uganda,Millet,1338.52,33.64,8694.59,76699.62,1.77,0.78,Center pivot irrigation,0.27,470.78,53.97
2003,South Sudan,Soybeans,1715.29,26.75,3591.82,21153.28,8.91,0.74,Sprinkler irrigation,0.32,534.25,55.87
1994,Rwanda,Groundnuts,680.06,21.75,3564.36,66795.96,8.4,0.83,Drip irrigation,0.27,826.66,37.23
2013,Burundi,Soybeans,762.65,26.08,4108.92,40576.95,9.03,0.83,Drip irrigation,0.25,193.21,56.45
2018,Burundi,Sunflower,965.93,22.81,9903.44,17301.64,5.87,0.61,Sprinkler irrigation,0.24,585.14,67.23
2018,Tanzania,Fruits,1040.1,18.23,2312.36,72717.95,8.88,0.76,Sprinkler irrigation,0.25,782.24,70.05
2018,Tanzania,Wheat,1990.57,32.76,5858.72,44732.56,7.1,0.53,Flood irrigation,0.46,867.03,13.31
2008,Uganda,Fruits,527.82,33.47,7360.55,20513.41,8.4,0.53,Center pivot irrigation,0.32,163.74,38.14
2010,Tanzania,Maize,700.41,25.97,4905.1,79259.93,1.18,0.72,Center pivot irrigation,0.11,137.62,35.21
2015,Kenya,Sorghum,927.23,30.93,2213.46,37087.45,8.65,0.55,Sprinkler irrigation,0.1,359.81,40.76
1994,Rwanda,Wheat,637.23,18.25,4151.08,18255.42,9.05,0.54,Drip irrigation,0.25,148.16,86.46
2021,Tanzania,Sorghum,1626.94,30.96,2029.53,78134.41,1.91,0.59,Sprinkler irrigation,0.39,630.64,46.77
2001,Rwanda,Groundnuts,1778.27,26.97,5204.87,58554.65,2.19,0.84,Center pivot irrigation,0.19,936.62,64.35
2017,Tanzania,Sunflower,1306.02,23.63,9905.33,97917.85,2.88,0.83,Center pivot irrigation,0.3,511.42,59.47
2003,Uganda,Sorghum,1021.91,16.08,3268.44,82741.73,6.22,0.8,Center pivot irrigation,0.29,409.98,77.56
2021,Kenya,Irish potatoes,1137.25,20.93,5062.71,20589.62,8.32,0.81,Flood irrigation,0.44,768.27,78.28
2008,Kenya,Vegetables,1555.72,19.37,3359.64,82124.37,7.76,0.51,Sprinkler irrigation,0.33,268.71,24.84
2017,Burundi,Beans,1348.59,30.85,6757.89,37762.51,9.12,0.67,Center pivot irrigation,0.18,706.59,20.31
2020,South Sudan,Irish potatoes,1804.8,29.81,5063.29,59247.7,4.96,0.66,Drip irrigation,0.37,652.76,17.79
2023,Tanzania,Sunflower,922.13,20.01,2904.14,37761.98,2.72,0.8,Drip irrigation,0.4,911.65,21.8
2014,Uganda,Groundnuts,1153.29,16.12,1459.08,26828.23,3.85,0.76,Drip irrigation,0.33,111.85,72.1
2021,Burundi,Millet,1995.02,28.27,2600.13,26181.18,6.9,0.9,Flood irrigation,0.28,755.14,15.9
1999,Uganda,Irish potatoes,833.54,19.28,4338.48,15540.03,4.51,0.74,Drip irrigation,0.16,379.18,97.4
1998,Burundi,Cassava,613.73,27.27,8420.49,36475.41,10,0.59,Drip irrigation,0.17,995.27,77.28
2007,Burundi,Millet,1457.53,26.11,2640.02,64970.18,6.4,0.65,Sprinkler irrigation,0.13,627.8,60.83
2009,Tanzania,Cassava,1368.22,18.51,8487.17,77785.06,9.22,0.79,Drip irrigation,0.24,657.72,33.43
2007,Uganda,Fruits,1108.2,25.72,2292.84,48327.76,4.97,0.74,Center pivot irrigation,0.11,732.81,22.5
2006,Uganda,Millet,1824.23,28.56,3164.81,63703.1,4.23,0.7,Center pivot irrigation,0.37,133.5,15.76
2018,Tanzania,Groundnuts,1523.48,25.7,3767.57,22633.25,7.35,0.66,Drip irrigation,0.46,487.78,32.09
1994,Tanzania,Sorghum,1982.9,22.54,8692.14,95916.71,9.23,0.59,Sprinkler irrigation,0.42,236.6,77.9
2012,Burundi,Cowpeas,516.76,19.04,2827.2,75145.68,2.63,0.84,Drip irrigation,0.46,426.03,88.13
2000,Uganda,Irish potatoes,586.29,25.29,1544.12,27069.22,5.29,0.76,Drip irrigation,0.27,788.57,48.37
2000,Tanzania,Groundnuts,1559.64,21.91,9377.69,90548.87,1.3,0.55,Center pivot irrigation,0.15,566.8,81.63
2011,Kenya,Sorghum,1401.28,30.43,3309.2,39615.27,8.37,0.89,Sprinkler irrigation,0.5,165.71,76.8
2014,Rwanda,Wheat,534.85,22.84,1372.19,90068.44,4.49,0.58,Sprinkler irrigation,0.29,124.37,57.71
2017,Uganda,Rice,1764.83,30.94,7955.34,81287.88,8.14,0.87,Sprinkler irrigation,0.47,567.42,26.65
1995,Kenya,Sunflower,1450,21.44,4848.63,31492.63,5.21,0.54,Drip irrigation,0.44,986.32,13.12
1996,Burundi,Beans,1591.22,23.26,4803.57,47699.06,8.16,0.88,Flood irrigation,0.37,942.68,13.82
1998,Burundi,Sorghum,1569.18,30.17,5655.02,72836.04,3.61,0.69,Center pivot irrigation,0.19,698.5,13.57
2015,Tanzania,Sorghum,593.51,15.2,8955.22,30389.78,6.29,0.79,Sprinkler irrigation,0.17,513.33,34.61
2006,Uganda,Groundnuts,577.32,18.88,4167.19,26320.46,1.1,0.53,Flood irrigation,0.21,630.38,99.09
2012,Uganda,Groundnuts,1093.55,17.48,9688.87,86930.29,3.55,0.54,Center pivot irrigation,0.29,831.77,50.06
2012,Kenya,Sorghum,1574.58,27.13,7842.98,57780.59,9.21,0.9,Flood irrigation,0.48,593.23,68.71
2007,Rwanda,Groundnuts,1104.29,21.4,9300.73,83695.8,6.43,0.8,Sprinkler irrigation,0.27,605.04,27.4
2017,Kenya,Fruits,1626.06,29.87,9223.37,27637.72,9.42,0.7,Center pivot irrigation,0.15,126.51,42.79
2010,Burundi,Groundnuts,1325.33,28.96,6678.61,81907.03,7.59,0.66,Drip irrigation,0.35,304.88,69.75
1994,South Sudan,Irish potatoes,1414.91,32.31,1407.95,24568.85,4.44,0.77,Flood irrigation,0.23,280.16,52.48
2006,Uganda,Wheat,1842.53,17.6,4458.72,76612.92,9.9,0.7,Center pivot irrigation,0.24,613.51,85.4
2004,Rwanda,Cassava,1118.76,19.63,5946.1,55359.95,6.1,0.75,Center pivot irrigation,0.18,995.94,60.77
2007,South Sudan,Fruits,1280.74,27.4,2910.22,55209.49,2.53,0.77,Drip irrigation,0.29,603.84,51.6
2010,Rwanda,Wheat,1037.29,18.76,4474.14,86370.53,7.26,0.79,Drip irrigation,0.33,895,91.21
2000,Rwanda,Rice,1586.71,27.96,7657.63,70583.34,5.1,0.72,Flood irrigation,0.47,396.61,10.6
2013,South Sudan,Millet,1571.04,22.66,3342.05,53122.64,7.41,0.77,Center pivot irrigation,0.28,256.85,38.31
2023,Tanzania,Vegetables,1209.69,23.03,8258.72,47353.02,5.52,0.52,Flood irrigation,0.28,175.46,34.69
2009,Uganda,Rice,963.4,34.32,4819.41,76874.4,1.07,0.76,Drip irrigation,0.45,120.18,52.33
2001,Uganda,Rice,1180.87,17.8,6079.58,63467.62,7.18,0.8,Flood irrigation,0.23,174.1,54.82
1995,Kenya,Sweet potatoes,1026.87,29.65,3891.17,81062.23,7.93,0.71,Center pivot irrigation,0.33,705.53,33.8
1999,Kenya,Wheat,1951.09,24.25,3599.39,82572.88,4.08,0.71,Drip irrigation,0.32,212.36,32.04
2000,Uganda,Irish potatoes,1053.15,19.55,7899.94,69745.68,6.37,0.57,Sprinkler irrigation,0.22,856.66,74.19
2001,Rwanda,Sorghum,1443.34,23.17,2328.41,69140.82,5.8,0.77,Flood irrigation,0.42,702.52,41.22
1994,Tanzania,Rice,724.97,34.33,6389.32,89472.43,3.26,0.87,Sprinkler irrigation,0.41,196.92,27.2
2014,Burundi,Irish potatoes,1845.56,19.68,6823.12,54585.46,1.03,0.53,Flood irrigation,0.15,844.94,85.79
2004,South Sudan,Wheat,1845.38,20.35,6181.7,69972.35,8.65,0.68,Center pivot irrigation,0.49,492.26,24.96
2012,Burundi,Maize,966.31,29.15,4617.5,34646.67,4.95,0.64,Drip irrigation,0.41,342.7,72.87
1996,Kenya,Sweet potatoes,540.23,27.14,7147.36,27029.84,4.82,0.56,Flood irrigation,0.48,491.94,71.48
2009,Tanzania,Cowpeas,574.9,34.04,7574.25,22732.06,7.6,0.7,Flood irrigation,0.13,991.54,47.74
1996,Rwanda,Sweet potatoes,802.54,23.24,2037.9,70685.84,4.22,0.57,Drip irrigation,0.23,859.77,40.05
1995,Rwanda,Maize,708.32,15.82,5021.73,77668.44,9.7,0.52,Center pivot irrigation,0.27,293.33,32.32
2023,South Sudan,Rice,1468.04,25.78,6068.86,60368.45,2.75,0.68,Center pivot irrigation,0.35,755.75,42.5
2020,Rwanda,Cowpeas,1273.76,20.91,6816.88,99034.72,1.37,0.81,Sprinkler irrigation,0.13,367.42,74.99
2021,Tanzania,Wheat,1349.11,29.54,2450.33,97895.57,6.46,0.71,Sprinkler irrigation,0.23,288.44,72.33
2007,Tanzania,Cowpeas,1080.13,24.4,7895.97,42553.21,1.44,0.56,Center pivot irrigation,0.32,701.26,13.4
2010,Rwanda,Cassava,1850.95,29.17,7001.87,60173.51,7.44,0.64,Flood irrigation,0.23,680.14,58.92
1995,Burundi,Groundnuts,572.08,33.4,7455.48,56608.37,4.46,0.58,Drip irrigation,0.11,199.37,99.65
2000,South Sudan,Soybeans,1180.53,29.14,5969.53,82164.67,3.05,0.81,Flood irrigation,0.21,161.4,90.23
2015,Tanzania,Cassava,1966.06,18.45,7679.43,74056.9,1.7,0.71,Drip irrigation,0.11,687.03,91.93
2009,Burundi,Soybeans,1156.24,20.04,5457.13,72749.9,3.57,0.51,Center pivot irrigation,0.28,376.21,54.95
2020,Rwanda,Rice,783.21,31.86,4183.66,59214.85,4.85,0.89,Drip irrigation,0.27,945.16,29.93
1999,Uganda,Irish potatoes,1778.38,18.83,7865.8,26287.04,5.89,0.86,Sprinkler irrigation,0.24,933.7,68.81
1999,Tanzania,Wheat,1486.28,33.53,7607.6,72994.15,4.44,0.78,Drip irrigation,0.39,784.2,24.89
2003,Tanzania,Cassava,1222.7,17.46,3353.24,28860.13,2.68,0.57,Center pivot irrigation,0.1,249.13,55.92
1994,South Sudan,Fruits,859.61,16.72,9200.95,10158.95,3.93,0.66,Sprinkler irrigation,0.25,124.55,14.41
2008,Tanzania,Sorghum,537.86,22.36,7869.38,92404.15,1.21,0.51,Sprinkler irrigation,0.38,867.79,27.83
2013,Tanzania,Wheat,930.73,25.94,7798.22,86306.37,8.11,0.59,Center pivot irrigation,0.22,700.51,63.19
2000,Tanzania,Cowpeas,955.21,32,8433.85,43218.25,2.19,0.84,Sprinkler irrigation,0.15,405.38,92.02
2012,South Sudan,Fruits,549.71,16.57,4353.54,82105.27,3.29,0.65,Drip irrigation,0.1,531.56,96.17
2005,Burundi,Vegetables,930.57,33.6,7893.64,58999.67,9.1,0.9,Center pivot irrigation,0.37,415.15,69.11
2015,Burundi,Cassava,923.72,15.37,8157.17,85063.24,3.21,0.59,Center pivot irrigation,0.48,461.24,95.28
2001,South Sudan,Groundnuts,929.49,28.47,4046.08,81924.01,4.61,0.53,Sprinkler irrigation,0.21,619.42,10.81
2019,Tanzania,Sunflower,1869.89,31.84,9527.58,70046.26,6.22,0.57,Drip irrigation,0.31,293.56,73.05
2022,South Sudan,Groundnuts,1025.69,20.55,7218.14,44136.94,5.19,0.51,Sprinkler irrigation,0.22,586.76,60.57
1996,Tanzania,Fruits,756.66,15.97,9314.4,71637.13,6.03,0.8,Flood irrigation,0.17,799.3,38.99
2014,Kenya,Sweet potatoes,1886.42,26.93,2191.78,80278.6,9.12,0.55,Sprinkler irrigation,0.13,218.31,61.61
2017,Burundi,Sorghum,1922.12,29.79,2198.04,26299.4,1.99,0.78,Flood irrigation,0.21,357.75,61.62
1997,Kenya,Vegetables,887.21,29.06,9665.22,89503.23,1.69,0.73,Drip irrigation,0.26,680.58,66.53
2021,Rwanda,Rice,735.3,31.31,8824.49,54025.5,2.32,0.67,Sprinkler irrigation,0.4,897.51,80.29
1998,Rwanda,Rice,985.1,16,4806.56,38215.3,8.71,0.83,Drip irrigation,0.4,276.86,48.2
2006,Tanzania,Cowpeas,1973.21,27.57,6059.13,88585.05,3.44,0.51,Center pivot irrigation,0.43,257.87,72.62
2013,Kenya,Maize,1095.83,34.91,1853.7,66296.9,9.22,0.87,Center pivot irrigation,0.27,860.74,11.72
1994,Rwanda,Soybeans,796.67,33.91,3316.61,47101.57,9.49,0.55,Center pivot irrigation,0.13,603.44,23.67
1994,Kenya,Vegetables,665.8,34.91,2986.73,39598.16,9.45,0.69,Flood irrigation,0.43,337.33,40.54
2003,Rwanda,Fruits,980.55,22.27,9664.29,13091.53,7.81,0.84,Sprinkler irrigation,0.37,725.37,92.93
1994,Kenya,Irish potatoes,940.2,30.52,1432.73,78636.24,1.47,0.57,Center pivot irrigation,0.38,105.25,46.7
2004,Tanzania,Maize,642.65,29.66,6828.18,87759.63,8.67,0.57,Flood irrigation,0.16,719.3,15.91
1999,Rwanda,Sorghum,1494.66,34.35,2775.85,37940.21,6.05,0.88,Sprinkler irrigation,0.39,280.62,15.92
2021,South Sudan,Vegetables,1480.87,15.7,7274.39,44239.48,4.23,0.64,Flood irrigation,0.49,229.65,59.34
2003,South Sudan,Groundnuts,1786.46,18.86,5878.09,35021.06,1.58,0.75,Flood irrigation,0.18,329.27,16.18
2005,Rwanda,Sweet potatoes,1924.93,20.05,3732.67,53288.34,2.53,0.73,Flood irrigation,0.45,155.24,77.57
2020,South Sudan,Millet,741.9,22.08,5203.21,89523.23,2.15,0.8,Sprinkler irrigation,0.16,543.05,20.38
1994,Tanzania,Soybeans,1453.66,19.51,5907.59,36889.23,9.79,0.8,Center pivot irrigation,0.43,588.4,83.43
2012,Rwanda,Irish potatoes,1863.83,30.67,6385.59,58277.14,8.01,0.6,Flood irrigation,0.13,650.82,12.77
2023,Burundi,Maize,1389.78,24.37,2482.5,30626.39,6.07,0.87,Center pivot irrigation,0.26,439.45,86.84
2020,Tanzania,Sorghum,1340.15,30.88,1278.45,18940.34,8.1,0.51,Flood irrigation,0.5,880.47,48.4
1999,Burundi,Beans,591.62,22.85,6080.51,31194.93,4.96,0.62,Flood irrigation,0.48,406.5,52.93
2017,South Sudan,Vegetables,1205.38,16.03,4692.35,68314.11,9.04,0.58,Center pivot irrigation,0.3,913.19,53.43
2015,South Sudan,Wheat,782,20.58,5509.35,92302.55,1.68,0.71,Flood irrigation,0.47,138.3,28.77
2006,Kenya,Irish potatoes,1061.33,23.39,1580.18,20742.44,5.83,0.62,Drip irrigation,0.44,493.79,52.71
2023,Kenya,Sweet potatoes,1952.1,28.15,2528.94,79924.67,3.71,0.62,Center pivot irrigation,0.11,327.35,20.54
2001,Kenya,Sunflower,886.94,25.83,8245.2,13537.94,2.88,0.63,Center pivot irrigation,0.35,188.4,62.48
1993,Burundi,Maize,1056.85,16.99,3256.74,45003.17,5.79,0.85,Drip irrigation,0.17,257.53,92.01
1998,Uganda,Sorghum,707,32.55,8804.11,51371.22,4.69,0.86,Center pivot irrigation,0.48,111.67,30.26
2011,South Sudan,Beans,1560.99,27.63,9918.21,62692.07,8.33,0.81,Flood irrigation,0.19,404.25,19.76
1996,Burundi,Rice,662.33,19.15,3110.63,62619.97,1.71,0.74,Center pivot irrigation,0.31,355.35,90.1
2022,Rwanda,Cassava,1786.89,20.4,8722.52,40540.33,2.15,0.54,Flood irrigation,0.22,131.96,65.32
2000,Burundi,Cowpeas,1477.45,18.8,5391.66,57297.14,1.77,0.7,Flood irrigation,0.39,936.98,31.32
1998,Kenya,Sorghum,1812.85,29.7,2700.84,57755.28,9.6,0.57,Drip irrigation,0.24,488.14,37.88
2008,Kenya,Pigeon peas,1753.87,27.76,2283.99,12639.92,2.74,0.88,Sprinkler irrigation,0.28,407.27,31.66
2008,Burundi,Wheat,1834.16,22.12,7900.49,71463.94,7.05,0.8,Drip irrigation,0.49,779.85,30.23
2021,Uganda,Groundnuts,1074.71,18.13,7927.54,39866.3,5.01,0.52,Drip irrigation,0.29,433.92,86.36
2020,Burundi,Beans,1533.04,22.87,9770.78,58437.08,2.57,0.72,Center pivot irrigation,0.22,783.46,80.03
2021,Uganda,Soybeans,1235.85,34.41,1346.14,91568.61,2.6,0.78,Drip irrigation,0.19,217.05,86.07
2022,Rwanda,Wheat,1817.99,23.75,6141.56,93651.75,6.48,0.69,Sprinkler irrigation,0.37,264.57,72.54
1994,Tanzania,Sorghum,1898.55,23.81,4355.97,42850.01,7.43,0.6,Sprinkler irrigation,0.4,905.18,78.91
1994,Burundi,Cowpeas,889.98,24.46,3941.28,63402.25,9.35,0.9,Drip irrigation,0.19,444.59,27.91
2010,Tanzania,Cowpeas,1192.73,23.74,6741.74,92362.42,9.03,0.6,Flood irrigation,0.11,600.83,32.52
1994,Tanzania,Millet,557.21,15.17,8198.03,67895.33,2.99,0.7,Flood irrigation,0.16,242.59,30.45
2010,South Sudan,Cowpeas,1138.83,17.42,2075.99,80245.84,4.86,0.86,Flood irrigation,0.11,968.85,62.02
1995,South Sudan,Pigeon peas,1121.15,25.56,5456.58,47592.3,5.8,0.76,Flood irrigation,0.2,456.38,83.23
2012,Rwanda,Beans,1762.75,27.04,9360.46,51658.08,2.58,0.65,Center pivot irrigation,0.46,255.98,91.69
2022,Tanzania,Soybeans,1591.16,26.76,6877.17,74122.8,4.65,0.55,Drip irrigation,0.48,695.36,59.24
2014,Burundi,Rice,1176.2,18.07,4813.16,14259.38,6.88,0.69,Flood irrigation,0.15,234.06,60.31
2016,Rwanda,Sweet potatoes,827.58,34.67,4832.11,71690.82,2.24,0.88,Sprinkler irrigation,0.43,365.03,60.24
2011,Uganda,Groundnuts,1118.78,15.46,7046.13,92240.99,4.44,0.68,Drip irrigation,0.35,911.96,57.61
2012,Tanzania,Irish potatoes,1722.59,32.85,3207.29,20861.33,1.32,0.51,Drip irrigation,0.42,405.58,20.06
2016,Uganda,Irish potatoes,1093.79,17.09,7452.45,14883,9.36,0.76,Drip irrigation,0.19,930.35,88.32
2002,Uganda,Fruits,1708.21,24.47,9171.55,67203.13,7.43,0.68,Center pivot irrigation,0.2,104.37,40.04
2004,Tanzania,Groundnuts,1830.57,19.09,6130.52,67210.24,7.65,0.8,Drip irrigation,0.27,539.27,28.23
1998,Kenya,Pigeon peas,1597.68,21.28,8640.86,83379.44,5.57,0.62,Flood irrigation,0.42,147.1,70.8
2007,Burundi,Sorghum,1172.33,21.04,2429.13,41515.21,6.92,0.82,Drip irrigation,0.2,771.15,56.44
2007,Tanzania,Irish potatoes,1059.61,33.91,3898.3,80131.19,3.92,0.56,Sprinkler irrigation,0.16,337.98,73.72
1998,South Sudan,Beans,834.7,23.35,7146.7,31490.41,4.96,0.57,Sprinkler irrigation,0.11,350.55,81.67
2023,South Sudan,Rice,1398.41,24.8,9600.85,17393,8.16,0.57,Center pivot irrigation,0.47,574.72,55.63
2009,Burundi,Millet,540.89,23.49,4365.14,23793.84,1.55,0.76,Center pivot irrigation,0.44,632.63,38.82
2002,Burundi,Vegetables,1210.54,17.37,2707.58,61173.7,1.37,0.53,Drip irrigation,0.33,821.37,37.63
2011,Rwanda,Millet,1953.23,23.4,2565.56,66625.81,8.44,0.54,Flood irrigation,0.21,200.99,53.77
1993,Rwanda,Groundnuts,1245.98,32.26,8545.77,93942.17,4.78,0.54,Flood irrigation,0.14,774.28,15.22
2004,Tanzania,Sorghum,1405.83,24.11,7799.35,87925.5,8.78,0.55,Flood irrigation,0.43,679.91,96.35
1997,Burundi,Sunflower,1053.36,28.43,9409.44,21173.21,5.05,0.81,Center pivot irrigation,0.16,853.1,94.52
1999,Rwanda,Sweet potatoes,930.98,34.13,8627.88,87470.32,9.67,0.5,Sprinkler irrigation,0.27,461.11,76.58
1997,South Sudan,Beans,1800.46,31.87,3902.64,85077.14,8.29,0.89,Center pivot irrigation,0.25,505.08,47.4
2013,Tanzania,Vegetables,1500.75,21.3,6738.18,68915.45,9.19,0.65,Sprinkler irrigation,0.23,803.72,28.56
2010,Rwanda,Maize,865.11,22.33,8026.11,54427.54,4.35,0.84,Drip irrigation,0.24,406.89,88.58
2004,Tanzania,Cowpeas,1206.27,32.74,4377.21,45129.37,1.88,0.57,Drip irrigation,0.26,243.67,57.95
2019,Kenya,Vegetables,1779.43,26.26,5051.28,78159.8,5.19,0.66,Flood irrigation,0.33,480.87,61.42
2013,Tanzania,Soybeans,944.63,33.12,4349.11,99272.15,1.71,0.52,Drip irrigation,0.49,640.56,39.82
1993,Uganda,Vegetables,1086.22,28.3,5269.19,52880.91,7.43,0.8,Center pivot irrigation,0.13,804.04,76.5
1993,Kenya,Pigeon peas,1612.89,24.14,5740.42,10959.31,7.1,0.83,Flood irrigation,0.14,739.07,92.86
2000,Kenya,Wheat,792.61,29.69,5473.77,17820.93,8.52,0.59,Center pivot irrigation,0.31,119.81,22.76
2018,Tanzania,Cowpeas,1153.14,29.16,1383.19,58741.1,7.82,0.87,Sprinkler irrigation,0.2,171.52,87.64
2018,Tanzania,Beans,684.37,28.16,2994.51,29754.36,4.43,0.61,Flood irrigation,0.41,102.61,48.17
2017,Kenya,Vegetables,1622.2,21.41,4923.73,26110.47,1.59,0.52,Drip irrigation,0.32,248.53,50.88
2022,Tanzania,Sunflower,968.15,31.86,4805.74,30516.01,8.73,0.76,Center pivot irrigation,0.37,762.99,17.48
2023,Rwanda,Pigeon peas,931.4,23.02,4953.63,89926.29,2.5,0.71,Flood irrigation,0.23,280.01,30.75
2006,Rwanda,Groundnuts,1041.44,18.63,7798.34,70527.05,4.38,0.65,Drip irrigation,0.39,531.94,91.32
2004,Burundi,Pigeon peas,1972.34,30.45,6880.3,63642.44,1.79,0.89,Flood irrigation,0.46,711.58,73.29
2005,South Sudan,Sweet potatoes,1125.83,22.47,1923.77,22488.22,2.68,0.51,Center pivot irrigation,0.41,407.44,98.63
2017,Rwanda,Sorghum,1402.76,21.18,5998.99,37663.05,8.17,0.66,Drip irrigation,0.18,621.66,20.74
2001,Rwanda,Rice,1518.78,32.92,5127.61,77365.4,9.81,0.55,Center pivot irrigation,0.19,280,52.3
2021,Rwanda,Sweet potatoes,998.29,29.58,4586.91,33508.42,8.4,0.58,Flood irrigation,0.41,926.29,72.44
1994,Burundi,Groundnuts,893.56,31.07,3522.18,10459.28,3.97,0.55,Sprinkler irrigation,0.44,282.81,93.05
2001,South Sudan,Vegetables,1263.64,28.43,1640.58,65987.98,7.16,0.8,Center pivot irrigation,0.11,545.65,37.63
2009,Kenya,Maize,689.23,26.68,6991.3,22609.6,5.85,0.78,Center pivot irrigation,0.43,303.02,52.02
2023,Tanzania,Sorghum,1200.94,32.35,9767.94,76454.26,8.53,0.75,Center pivot irrigation,0.12,458.67,14.43
1999,Kenya,Sunflower,1204.28,20.57,7105.16,61123.49,3.59,0.76,Center pivot irrigation,0.12,813.46,65.7
2008,Tanzania,Pigeon peas,1536.19,28.5,1259.85,45894.98,3.93,0.88,Center pivot irrigation,0.29,999.82,30.37
2008,Tanzania,Cassava,1800.85,16.53,8487.41,31254.22,4.47,0.84,Sprinkler irrigation,0.38,268.56,53.67
2016,South Sudan,Fruits,544.58,26.5,3257.53,15380.62,7.66,0.61,Center pivot irrigation,0.41,406.79,67.54
2014,Tanzania,Cowpeas,1025.83,34.5,6031.63,89546.37,5.91,0.6,Sprinkler irrigation,0.49,215.27,43.02
2004,Kenya,Irish potatoes,1712.82,34.49,3108.12,27876.51,2.84,0.5,Drip irrigation,0.41,947.31,30.36
2021,Kenya,Groundnuts,704.78,27.85,3924.95,15107.48,2.69,0.78,Flood irrigation,0.41,187.57,53.53
2001,Tanzania,Sorghum,627.38,18.96,3262.12,52710.12,4.95,0.54,Center pivot irrigation,0.32,488.51,60.23
1999,Kenya,Maize,1280.42,31.18,9018.73,40039.93,8.54,0.59,Sprinkler irrigation,0.44,768.62,14.9
2020,Tanzania,Fruits,1431.04,31.9,4596.2,99062.73,5.56,0.56,Center pivot irrigation,0.14,627.17,26.24
2013,Tanzania,Millet,1853.35,15.68,8604.74,23487.64,8.95,0.62,Center pivot irrigation,0.43,238.06,30.71
2006,Rwanda,Groundnuts,1023.3,19.38,6503.11,94992.32,1.33,0.59,Sprinkler irrigation,0.18,926.97,38.53
1996,Tanzania,Wheat,1402.31,32.57,6982.87,95032.13,5.92,0.52,Drip irrigation,0.17,658.33,50.61
1997,Uganda,Cowpeas,1291.89,28.61,9834.57,65092.94,6.67,0.75,Center pivot irrigation,0.3,329.27,22.15
